name,price
Лаптоп HP OMEN 17-CK1017NIA (Silver),"64,995 ден."
Лаптоп ASUS TUF GAMING FX507VU4-LP053,"67,499 ден."
Лаптоп ASUS ZenBook 14 OLED UX3405MA-QD379W (Blue ) / Win 11,"67,999 ден."
Лаптоп ASUS ROG Flow X13 GV301QH-K5232R,"68,495 ден."
Лаптоп ACER Nitro 5 NV15-41-R8MS  - Процесор AMD Ryzen™ 7 7735HS (16MB Cache,"68,499 ден."
Лаптоп ACER Nitro 5 ANV15-41-R9Q3  - Процесор AMD Ryzen™ 7 7735HS (16MB Cache,"68,499 ден."
Лаптоп LENOVO Yoga Pro 7 14IMH9 / Touchscreen  ( Tidal Teal ),"68,499 ден."
Лаптоп ASUS ROG Strix G16 G614JU-N3136,"68,499 ден."
Лаптоп LENOVO GAMING LOQ 15AHP10 (Black),"68,499 ден."
Лаптоп ACER Nitro 5 ANV15-41-R33C  - Процесор AMD Ryzen™ 7 7735HS (16MB Cache,"69,999 ден."
Лаптоп Lenovo ThinkPad E14 Gen 6,"71,499 ден."
"Лаптоп Apple MacBook Air 15.6"" ( Midnight )","73,495 ден."
"Лаптоп Apple MacBook Air 15.6"" ( Starlight )","73,495 ден."
Лаптоп Lenovo ThinkPad E16 Gen 2,"73,499 ден."
Лаптоп ASUS Vivobook S 16 OLED M5606WA-MX016W / Win 11 ( Star Black ),"73,499 ден."
"Лаптоп Apple MacBook Air 13.6"" ( SKY BLUE  )","74,499 ден."
"Лаптоп Apple MacBook Air 13.6"" ( SILVER  )","74,499 ден."
"Лаптоп Apple MacBook Air 13.6"" ( STARLIGHT  )","74,499 ден."
"Лаптоп Apple MacBook Air 13.6"" ( MIDNIGHT  )","74,499 ден."
Лаптоп ASUS TUF FX607JV-N3109,"74,499 ден."
Лаптоп ASUS TUF GAMING FA507NV-LP020W / Win 11,"74,499 ден."
Лаптоп LENOVO LEGION Slim 5 16APH8 (Black),"76,499 ден."
Лаптоп ASUS ProArt PZ13 OLED HT5306QA-LX002W / TouchScreen /  Windows 11 (Nano Black),"77,499 ден."
"Лаптоп Apple MacBook Air 15.3"" ( STARLIGHT )","78,495 ден."
Лаптоп ACER Nitro 5 AN16-51-786U -Процесор Intel® Core™ i7-13700H ( 24MB Cache,"78,499 ден."
Лаптоп LENOVO Yoga 7 OLED 2-in-1 14AKP10 / Touchscreen /Win 11,"78,499 ден."
Лаптоп LENOVO LEGION 5 15IRX10 (Black),"78,499 ден."
Лаптоп ASUS TUF FX607JV-QT180,"78,499 ден."
Лаптоп DELL G5 15 5530 ( Dark Shadow),"79,999 ден."
Лаптоп LENOVO GAMING LOQ 15IRX10 (Black),"80,499 ден."
Лаптоп LENOVO LEGION 5 15AHP10 (Black),"81,499 ден."
Лаптоп LENOVO LEGION Slim 5 16AHP9 (Black),"82,499 ден."
Лаптоп ASUS B9403CVA-OLED-UI73D0X / Win 11 Pro ( Star Black ) US MIL-STD 810H military-grade standard,"83,499 ден."
Лаптоп ASUS ZenBook 14 OLED UX3407RA-QD010W (GRAY ) / Win 11,"83,999 ден."
Лаптоп LENOVO GAMING LOQ 15ARP9 (Black),"84,499 ден."
Лаптоп LENOVO LEGION 5 16IRX9 (Luna Grey),"85,499 ден."
Лаптоп ASUS ROG Strix G16 G614JV-N3180,"85,999 ден."
Лаптоп ASUS Vivobook V16 V3607VM-RP020W / Win 11 ( Black ),"88,499 ден."
Лаптоп ASUS ZenBook 14 OLED UX3405CA-PZ067X (Blue ) / Win 11 Pro,"90,499 ден."
Лаптоп LENOVO LEGION Slim 5 16APH8 (Black),"92,499 ден."
"Лаптоп Apple MacBook Air 15.3"" ( MIDNIGHT )","92,499 ден."
"Лаптоп Apple MacBook Air 15.3"" ( SKY BLUE  )","93,999 ден."
"Лаптоп Apple MacBook Air 15.3"" ( MIDNIGHT )","93,999 ден."
Лаптоп ASUS TUF GAMING FA507XI-HQ015W / Win 11,"95,499 ден."
Лаптоп Apple MacBook Pro 14 ( Space Gray ),"98,495 ден."
Лаптоп LENOVO LEGION Slim 5 16AHP9 (Black),"98,499 ден."
Лаптоп ASUS Zenbook S 14 OLED UX5406SA-PZ281X / Windows 11 PRO,"98,499 ден."
Лаптоп LENOVO LEGION 5 16IRX9 (Black),"101,499 ден."
Лаптоп ASUS TUF GAMING FA507UI-HQ029,"102,499 ден."
Лаптоп ASUS Zenbook 14 OLED UX8406MA-PZ073W / Touch Screen / Win 11 Home,"103,499 ден."
Лаптоп ASUS ROG Strix G16 G614JI-N3082,"103,499 ден."
Лаптоп LENOVO LEGION 5 Pro 16IRX9 (Black),"109,999 ден."
Лаптоп ASUS ROG Zephyrus G16 GU605MU-QR070W / Win 11 Home,"109,999 ден."
Лаптоп ASUS Zenbook S 16 OLED UM5606WA-RJ126X / Touch Screen /Win 11 Pro  (Scandinavian White),"112,499 ден."
Лаптоп DELL XPS 13 9320  / Win 11 Pro,"113,495 ден."
Лаптоп LENOVO LEGION 5 16IRX9 (Black),"114,999 ден."
Лаптоп Apple MacBook Pro 16 ( Space Gray ),"115,495 ден."
Лаптоп Apple MacBook Pro 16 ( Silver ),"115,495 ден."
Лаптоп LENOVO LEGION 5 15IAX10 (Black),"118,499 ден."
Лаптоп ASUS ROG Strix G18 G815JMR-S9022 / ASUS BackPack,"118,499 ден."
Лаптоп DELL XPS 13 9320 TouchScreen / Win 11 Pro,"121,999 ден."
Лаптоп ASUS ROG Strix G16 G615LM-S5076 / ASUS BackPack,"122,499 ден."
Лаптоп ASUS Zenbook Duo 14 OLED UX8406CA-PZ042X / Touch Screen / Win 11 Pro,"128,499 ден."
Лаптоп Apple MacBook Pro 14 ( Space Black ),"128,799 ден."
Лаптоп ASUS ROG Strix G16 G615LP-S5054 / ASUS BackPack,"134,999 ден."
Лаптоп LENOVO Yoga Book 9 14IAH10 / Touchscreen /Win 11 ( Tidal Teal ) / TouchScreen / Win 11,"136,499 ден."
Лаптоп Apple MacBook Pro 14 ( Silver ),"138,495 ден."
Лаптоп Apple MacBook Pro 14 ( Space Black ),"138,495 ден."
Лаптоп Apple MacBook Pro 14 ( Silver ),"141,999 ден."
Лаптоп Apple MacBook Pro 14 ( Space Black ),"144,999 ден."
Лаптоп ASUS ROG Strix G16 G614PR-RV132W/ Win 11 / ASUS ROG BackPack,"144,999 ден."
Лаптоп ASUS ROG Zephyrus G16 GU605MI-QR114W / Win 11 Home,"144,999 ден."
Лаптоп ASUS ROG Flow Z13 GZ302EA-RU011X / Win 11 Pro,"144,999 ден."
Лаптоп Apple MacBook Pro 14 ( Space Black ),"148,499 ден."
Лаптоп Lenovo ThinkPad X1 CarbonGen 13 Aura Edition OLED,"151,499 ден."
Лаптоп ASUS ROG Zephyrus 16 GA605WI-QR037W / Win 11,"157,999 ден."
Лаптоп LENOVO LEGION 7 Pro 16IRX9H ( Black),"158,499 ден."
Лаптоп ASUS ProArt P16 OLED H7606WI-OLED-ME016X / TouchScreen /  Windows 11 Pro (  Mineral Black ),"164,999 ден."
Лаптоп Apple MacBook Pro 16 ( SPace Black ),"168,495 ден."
Лаптоп Apple MacBook Pro 14 ( Space Black ),"176,999 ден."
Лаптоп Apple MacBook Pro 14 ( Silver ),"176,999 ден."
Лаптоп ASUS ROG Strix SCAR 16 G614FR-S5129W / Win 11 Home,"178,499 ден."
